Rk,Player,Tm,FantPos,Age,G,GS,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Jonathan Taylor,IND,RB,26,17,17,316.0,362.3,369.3,339.3,158.0,1,1.0
2,Christian McCaffrey,SFO,RB,29,17,17,315.0,416.6,422.6,365.6,157.0,2,2.0
3,Bijan Robinson,ATL,RB,23,17,17,292.0,370.8,379.8,331.3,135.0,3,3.0
4,Jahmyr Gibbs,DET,RB,23,17,17,290.0,366.9,373.9,328.4,133.0,4,4.0
5,Puka Nacua,LAR,WR,24,16,15,246.0,375.0,382.0,310.5,121.0,1,5.0
6,Jaxon Smith-Njigba,SEA,WR,23,17,17,241.0,359.9,363.9,300.4,116.0,2,6.0
7,James Cook,BUF,RB,26,17,17,269.0,302.2,311.2,285.7,114.0,5,7.0
8,Derrick Henry,BAL,RB,31,17,17,265.0,279.5,288.5,272.0,109.0,6,8.0
9,De'Von Achane,MIA,RB,24,16,16,256.0,322.8,328.8,289.3,101.0,7,9.0
10,Josh Allen,BUF,QB,29,17,17,365.0,364.6,383.6,374.6,87.0,1,10.0
11,Amon-Ra St. Brown,DET,WR,26,17,17,207.0,324.0,327.0,265.5,84.0,3,11.0
12,Trey McBride,ARI,TE,26,17,17,190.0,315.9,318.9,252.9,82.0,1,12.0
13,George Pickens,DAL,WR,24,17,15,199.0,291.9,294.9,245.4,77.0,4,13.0
14,Drake Maye,NWE,QB,23,17,17,351.0,352.0,369.0,359.5,74.0,2,14.0
15,Matthew Stafford,LAR,QB,37,17,17,350.0,350.4,364.4,358.4,74.0,3,15.0
16,Kyren Williams,LAR,RB,25,17,17,227.0,263.3,271.3,245.3,74.0,8,16.0
17,Ja'Marr Chase,CIN,WR,25,16,16,189.0,313.6,317.6,251.1,67.0,5,17.0
18,Travis Etienne,JAX,RB,26,17,16,218.0,253.9,259.9,235.9,66.0,9,18.0
19,Trevor Lawrence,JAX,QB,26,17,17,338.0,338.2,359.2,350.2,62.0,4,19.0
20,Chase Brown,CIN,RB,25,17,17,214.0,282.6,288.6,248.1,61.0,10,20.0
21,Javonte Williams,DAL,RB,25,16,16,208.0,242.8,250.8,225.3,56.0,11,21.0
22,Josh Jacobs,GNB,RB,27,15,15,201.0,237.1,245.1,219.1,50.0,12,22.0
23,Chris Olave,NOR,WR,25,16,16,168.0,268.0,272.0,219.0,48.0,6,23.0
24,D'Andre Swift,CHI,RB,26,16,16,195.0,228.6,236.6,211.6,44.0,14,24.0
25,Saquon Barkley,PHI,RB,28,16,16,195.0,232.3,239.3,213.8,44.0,13,25.0
26,Davante Adams,LAR,WR,33,14,14,163.0,222.9,225.9,192.9,43.0,7,26.0
27,Caleb Williams,CHI,QB,24,17,17,317.0,318.7,332.7,324.7,42.0,5,27.0
28,Dak Prescott,DAL,QB,32,17,17,314.0,313.8,331.8,323.8,39.0,6,28.0
29,Ashton Jeanty,LVR,RB,22,17,17,190.0,245.1,252.1,217.6,39.0,15,29.0
30,Zay Flowers,BAL,WR,25,17,17,157.0,243.3,249.3,200.3,37.0,8,30.0
31,Nico Collins,HOU,WR,26,15,15,155.0,226.2,230.2,190.7,35.0,9,31.0
32,Jameson Williams,DET,WR,24,17,15,155.0,219.9,222.9,187.4,35.0,10,32.0
33,Tee Higgins,CIN,WR,26,15,14,153.0,211.6,214.6,182.1,33.0,11,33.0
34,Bo Nix,DEN,QB,25,17,17,305.0,304.8,323.8,315.8,31.0,7,34.0
35,Rico Dowdle,CAR,RB,27,17,11,177.0,216.3,223.3,196.8,27.0,16,35.0
36,Jaylen Warren,PIT,RB,27,16,15,177.0,217.1,223.1,197.1,27.0,17,36.0
37,Courtland Sutton,DEN,WR,30,17,16,146.0,219.7,222.7,182.7,27.0,12,37.0
38,Jalen Hurts,PHI,QB,27,16,16,299.0,299.1,315.1,305.1,26.0,8,38.0
39,Jared Goff,DET,QB,31,17,17,297.0,297.1,313.1,305.1,24.0,9,39.0
40,Michael Wilson,ARI,WR,25,17,13,143.0,220.6,223.6,181.6,24.0,13,40.0
41,A.J. Brown,PHI,WR,28,15,15,142.0,220.3,223.3,181.3,23.0,14,41.0
42,Breece Hall,NYJ,RB,24,16,16,172.0,207.7,215.7,189.7,22.0,18,42.0
43,TreVeyon Henderson,NWE,RB,23,17,4,171.0,206.2,213.2,188.7,22.0,19,43.0
44,Tetairoa McMillan,CAR,WR,22,17,17,141.0,211.4,215.4,176.4,22.0,15,44.0
45,Dallas Goedert,PHI,TE,30,15,15,125.0,185.1,188.1,155.1,21.0,2,45.0
46,Kyle Pitts,ATL,TE,25,17,17,123.0,210.8,213.8,166.8,19.0,3,46.0
47,Alec Pierce,IND,WR,25,15,14,136.0,183.3,186.3,159.8,18.0,16,47.0
48,Drake London,ATL,WR,24,12,12,134.0,201.9,205.9,167.9,15.0,17,48.0
49,Hunter Henry,NWE,TE,31,17,17,119.0,178.8,181.8,148.8,15.0,4,49.0
50,Justin Herbert,LAC,QB,27,16,16,287.0,286.9,307.9,299.9,14.0,10,50.0
51,Emeka Egbuka,TAM,WR,23,17,13,133.0,195.7,198.7,164.2,14.0,18,51.0
